name,slug,website_url,status,official_icon_url,local_path,error
Maitland Chambers,maitland-chambers,https://www.maitlandchambers.com/,downloaded,https://www.maitlandchambers.com/favicon/apple-touch-icon.png,assets/chambers/maitland-chambers.png,
Matrix Chambers,matrix-chambers,https://www.matrixlaw.co.uk/,downloaded,https://www.matrixlaw.co.uk/apple-touch-icon.png,assets/chambers/matrix-chambers.png,
Monckton Chambers,monckton-chambers,https://www.monckton.com/,downloaded,https://www.monckton.com/wp-content/uploads/2019/09/cropped-monckton.avatar.reverse.512x-200x200.png,assets/chambers/monckton-chambers.png,
No5 Barristers' Chambers,no5-barristers-chambers,https://www.no5.com/,downloaded,https://www.no5.com/wp-content/themes/tela_no5/assets/favicons/apple-touch-icon.png,assets/chambers/no5-barristers-chambers.webp,
Old Square Chambers,old-square-chambers,https://oldsquare.co.uk/,downloaded,https://oldsquare.co.uk/apple-touch-icon-180x180.png,assets/chambers/old-square-chambers.png,
One Essex Court,one-essex-court,https://www.oeclaw.co.uk/,downloaded,https://www.oeclaw.co.uk/android-chrome-512x512.png,assets/chambers/one-essex-court.png,
Outer Temple Chambers,outer-temple-chambers,https://www.outertemple.com/,failed,,,curl: (56) The requested URL returned error: 403
Parklane Plowden Chambers,parklane-plowden,https://www.parklaneplowden.co.uk/,downloaded,https://www.parklaneplowden.co.uk/app/uploads/2021/08/cropped-parklane-plowden-favicon-180x180.png,assets/chambers/parklane-plowden.png,
Pump Court Tax Chambers,pump-court-tax-chambers,https://www.pumptax.com/,downloaded,https://www.pumptax.com/wp-content/uploads/2026/07/cropped-pumptax.icon_-180x180.webp,assets/chambers/pump-court-tax-chambers.webp,
Serle Court,serle-court,https://www.serlecourt.co.uk/,downloaded,https://www.serlecourt.co.uk/wp-content/themes/tela_serlecourt/assets/favicons/apple-touch-icon.png,assets/chambers/serle-court.webp,
South Square,south-square,https://southsquare.com/,downloaded,https://southsquare.com/wp-content/themes/SouthSquare/icons/apple-icon-180x180.png,assets/chambers/south-square.png,
St Ives Chambers,st-ives-chambers,https://stiveschambers.co.uk/,downloaded,https://d23mtoo6rceerw.cloudfront.net/app/uploads/2024/11/cropped-faviocon-180x180.webp,assets/chambers/st-ives-chambers.webp,
St Philips Chambers,st-philips-chambers,https://st-philips.com/,downloaded,https://st-philips.com/wp-content/uploads/2022/11/cropped-site-icon-180x180.jpg,assets/chambers/st-philips-chambers.jpg,
Three Raymond Buildings,3-raymond-buildings,https://3rblaw.com/,downloaded,https://3rblaw.com/wp-content/themes/3rb/assets/favicons/apple-touch-icon.png,assets/chambers/3-raymond-buildings.webp,
Trinity Chambers,trinity-chambers-north-east,https://www.trinitychambers.co.uk/,downloaded,https://www.trinitychambers.co.uk/images/favicon/apple-icon-180x180.png,assets/chambers/trinity-chambers-north-east.png,
Twenty Essex,twenty-essex,https://www.twentyessex.com/,failed,,,curl: (56) The requested URL returned error: 403
Wilberforce Chambers,wilberforce-chambers,https://www.wilberforce.co.uk/,downloaded,https://www.wilberforce.co.uk/wp-content/themes/wilberforce/images/favicon/apple-touch-icon.png,assets/chambers/wilberforce-chambers.png,
